Number of Runs,2
Number of Generations,1000
N (Size of Cromosome),5
P (Size of Population),20

Selection,Survivor
Survivor Elite percentage,0.2
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,0.5,Mutation Rate,0.01

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,
Generations,Mean,Lowest,All Gene Stand Div,,Generations,Mean,Lowest,All Gene Stand Div,
Generation 96,7.392596205033568,6.012872393654639,0.836316675852887,,Generation 96,9.962873842753377,9.962873842753382,1.1300635217964439,
Generation 97,6.416334604262761,6.012872393654639,0.8015731434293623,,Generation 97,9.962873842753377,9.962873842753382,1.1300635217964439,
Generation 98,6.3604144405624465,6.012872393654639,0.8021932940842156,,Generation 98,9.962873842753377,9.962873842753382,1.1300635217964439,
Generation 99,6.769261441813131,6.012872393654639,0.8563556363680274,,Generation 99,9.989060208802234,9.962873842753382,1.1311571579441129,
Generation 100,7.352126318630947,6.012872393654639,0.9110519818007068,,Generation 100,11.651589117257695,9.962873842753382,1.1241226805819777,
Generation 101,6.6672618470017735,6.012872393654639,0.8025455041067672,,Generation 101,10.793114694613774,9.71295770367609,1.1283787223787143,
Generation 102,6.0624247771223905,5.503876404839822,0.8009344900589641,,Generation 102,11.089139995884414,9.71295770367609,1.2258312928038448,
Generation 103,5.987422594213901,5.503876404839822,0.8004722140167727,,Generation 103,10.336811410573985,9.71295770367609,1.1355941327722252,
Generation 104,7.984251819991553,5.503876404839822,0.8082121186790469,,Generation 104,10.537646783284158,9.71295770367609,1.1389486566445983,
Generation 105,5.961972794773159,5.503876404839822,0.8007212681047609,,Generation 105,9.712957703676093,9.71295770367609,1.1406193808863014,
Generation 106,7.255579630665176,5.503876404839822,0.806921688477274,,Generation 106,9.712957703676093,9.71295770367609,1.1406193808863014,
Generation 107,5.885623396450937,5.503876404839822,0.8014670266036493,,Generation 107,10.582563482338227,9.71295770367609,1.1349726159162037,
Generation 108,6.9674519570824085,5.503876404839822,0.8286233428449469,,Generation 108,9.712957703676093,9.71295770367609,1.1406193808863014,
Generation 109,6.897002325094734,5.503876404839822,0.9644365935685245,,Generation 109,9.712957703676093,9.71295770367609,1.1406193808863014,
Generation 110,5.722307892636934,5.503876404839822,0.8065891654160514,,Generation 110,9.712957703676093,9.71295770367609,1.1406193808863014,
Generation 111,5.503876404839819,5.503876404839822,0.8051644190511923,,Generation 111,10.088155891259662,9.71295770367609,1.139844676375504,
Generation 112,5.503876404839819,5.503876404839822,0.8051644190511923,,Generation 112,10.681339209189773,9.71295770367609,1.1425033947440817,
Generation 113,5.503876404839819,5.503876404839822,0.8051644190511923,,Generation 113,9.712957703676093,9.71295770367609,1.1406193808863014,
