Number of Runs,5
Number of Generations,100
N (Size of Cromosome),100
P (Size of Population),200

Selection,Survivor
Survivor Elite percentage,0.4
Crossover,Uniform
Uniform probablitly,0.5
Mutation,Creep
Step size,1,Mutation Rate,0.02

Fitness Function,10N + SUM(Gene - 10 x Cos(2pi x Gene)

Run 1,,,,Run 2,,,,Run 3,,,,Run 4,,,,Run 5,,,
Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,,Generations,Mean,Lowest,
Generation 92,188.01023285989265,143.01431336202495,,Generation 92,185.54350888049976,138.2245216883133,,Generation 92,181.61840306708106,135.99883276249557,,Generation 92,173.5397863577394,130.53258813584284,,Generation 92,190.11115085549886,146.15658462836018,
Generation 93,186.12592850075416,142.76571798838006,,Generation 93,185.49939050108304,141.93692196281881,,Generation 93,178.60294441815654,133.86395062914858,,Generation 93,173.63750922384136,120.58723647367196,,Generation 93,186.05521240774075,143.22334740405495,
Generation 94,185.25108506083973,142.24712441360157,,Generation 94,188.05679994721177,137.30853576279117,,Generation 94,178.94210582364445,135.75917247285224,,Generation 94,170.42276237714677,126.13592318227438,,Generation 94,186.02782186754123,142.74434115167094,
Generation 95,183.59695651059155,140.4590317320973,,Generation 95,183.6403452213468,132.74992008055767,,Generation 95,178.86070757648704,136.3591177338584,,Generation 95,168.53082275038633,128.76329357301677,,Generation 95,185.9100534176936,143.5561701420187,
Generation 96,183.27883344559217,146.89041709441312,,Generation 96,175.96016573567942,135.07957771597705,,Generation 96,180.22653572361173,137.01557979925371,,Generation 96,166.61145042727046,119.76632300450774,,Generation 96,185.40159400115957,129.86123894145862,
Generation 97,182.51716747330943,137.0394165916224,,Generation 97,174.8295099622097,127.82683765530192,,Generation 97,178.99432806357828,135.3402375940526,,Generation 97,163.3217575072604,117.972104396742,,Generation 97,181.23947453855982,135.95225793578993,
Generation 98,179.80201791507238,144.82069149901895,,Generation 98,170.44149105215797,127.94963354354172,,Generation 98,176.39474339349715,133.14270289838828,,Generation 98,162.9517625682937,119.09875486555109,,Generation 98,181.58370113861892,138.9737491703205,
Generation 99,182.93606453582225,138.36629926859496,,Generation 99,169.47794962894383,123.98765554731244,,Generation 99,173.67452234090658,125.82146453963412,,Generation 99,159.81230895114342,111.8480781894134,,Generation 99,180.05073484451069,136.07910355742877,
Generation 100,183.4067164293844,143.73737935569397,,Generation 100,166.02031709785814,126.72105536614424,,Generation 100,172.41796027279742,130.76744054756568,,Generation 100,155.49455072014496,116.32317879403331,,Generation 100,177.62917484667273,132.62778800412025,
Best,179.80201791507238,137.0394165916224,,Best,166.02031709785814,123.98765554731244,,Best,172.41796027279742,125.82146453963412,,Best,155.49455072014496,111.8480781894134,,Best,177.62917484667273,129.86123894145862,
Generation,98,97,,Generation,100,99,,Generation,100,99,,Generation,100,99,,Generation,100,96,

16-57-55
"The following was done with an adaptive random reset prob and a mutation prob, the rate at which they happen is 0.01 for rest and 0.02 for muation, the step rate is big little, randomly chosen and adaptive big 1,4 little 0.5 1"
